Date,year,Home,Opp,OppPen,OppPenYds,HomePen,HomePenYds,Ref,Home Win,PenDiff
9/12/99,1999,32,9,9,99,8,45,6,0,1
9/12/99,1999,12,25,6,55,7,47,7,0,-1
9/12/99,1999,30,23,9,59,3,20,8,0,6
9/19/99,1999,16,10,8,50,10,84,7,0,-2
9/19/99,1999,31,8,2,7,7,70,8,0,-5
9/19/99,1999,11,12,5,25,6,52,14,0,-1
9/26/99,1999,21,23,2,10,3,25,6,0,-1
9/26/99,1999,25,6,17,121,9,85,8,1,8
9/26/99,1999,4,26,7,50,4,20,14,0,3
9/27/99,1999,1,28,9,88,3,25,7,0,6
10/3/99,1999,2,3,5,38,6,40,6,1,-1
10/3/99,1999,23,26,6,35,5,51,7,0,1
10/3/99,1999,18,16,13,113,6,54,8,0,7
10/3/99,1999,8,21,7,59,5,45,14,0,2
10/10/99,1999,11,18,4,20,1,5,6,0,3
10/10/99,1999,4,27,2,20,4,40,8,0,-2
10/10/99,1999,20,6,3,23,5,40,14,0,-2
10/17/99,1999,24,14,1,5,6,51,6,0,-5
10/17/99,1999,15,8,6,55,7,55,7,0,-1
10/17/99,1999,21,19,13,99,6,45,8,0,7
10/17/99,1999,7,27,7,41,8,60,14,0,-1
10/24/99,1999,17,8,6,30,4,30,6,0,2
10/24/99,1999,30,6,6,55,4,30,7,0,2
10/24/99,1999,14,7,10,99,6,45,8,0,4
10/24/99,1999,25,24,7,70,2,20,14,0,5
10/31/99,1999,32,6,9,85,3,15,6,0,6
10/31/99,1999,10,20,9,78,7,39,7,0,2
10/31/99,1999,3,4,7,50,10,113,14,1,-3
11/7/99,1999,29,7,16,107,8,71,7,1,8
11/7/99,1999,22,30,9,70,5,40,8,0,4
11/7/99,1999,19,31,2,19,5,40,14,0,-3
11/8/99,1999,20,9,8,55,12,95,6,1,-4
11/14/99,1999,15,3,6,29,4,30,6,1,2
11/14/99,1999,4,19,5,41,11,75,7,0,-6
11/14/99,1999,29,10,6,55,9,105,8,0,-3
11/14/99,1999,26,32,5,44,5,51,14,0,0
11/21/99,1999,12,11,8,119,10,90,6,0,-2
11/21/99,1999,28,17,7,58,3,15,7,0,4
11/21/99,1999,18,6,8,56,5,40,8,0,3
11/21/99,1999,16,29,5,29,8,60,14,0,-3
11/28/99,1999,27,7,5,35,6,46,6,0,-1
11/28/99,1999,5,2,14,137,8,54,7,1,6
11/28/99,1999,4,21,8,101,6,39,8,0,2
11/28/99,1999,14,24,10,72,3,24,14,0,7
